"presenca" "NM_MUNICIP" "lat" "lon"
"435" "Absent" "MATOZINHOS" -19.57642 -44.09
"436" "Present" "BELO VALE" -20.42874 -44.0895
"437" "Present" "BELO VALE" -20.41611 -44.0894
"438" "Present" "MATOZINHOS" -19.52311 -44.08833
"439" "Present" "BELO VALE" -20.41444 -44.0883
"440" "Absent" "BELO VALE" -20.3819 -44.0881
"441" "Present" "BELO VALE" -20.40069 -44.0878
"442" "Present" "BELO VALE" -20.38639 -44.0861
"443" "Absent" "BELO VALE" -20.43028 -44.0858
"444" "Absent" "BELO VALE" -20.47139 -44.0856
"445" "Present" "BELO VALE" -20.42778 -44.0833
"446" "Absent" "BELO VALE" -20.38222 -44.0828
"447" "Absent" "BELO VALE" -20.38178 -44.0826
"448" "Present" "MATOZINHOS" -19.56558 -44.08194
"449" "Absent" "BELO VALE" -20.41239 -44.0818
"450" "Absent" "BELO VALE" -20.41239 -44.0818
"451" "Absent" "BELO VALE" -20.3453 -44.0817
"452" "Present" "MATOZINHOS" -19.5355 -44.08167
"453" "Present" "BELO VALE" -20.46092 -44.0814
